,Name,Weight (%),Identifier,Sector,Shares Held,yfinance_ticker
319,STERIS PLC,0.052101,STE,-,1174165.0,STE
320,NETAPP INC,0.051972,NTAP,-,2460050.0,NTAP
321,EVERSOURCE ENERGY,0.051816,ES,-,4154974.0,ES
322,PPL CORP,0.051801,PPL,-,8729764.0,PPL
323,FIRSTENERGY CORP,0.050209,FE,-,6140806.0,FE
324,T ROWE PRICE GROUP INC,0.049913,TROW,-,2652801.0,TROW
325,SMURFIT WESTROCK PLC,0.049463,SW,-,5977855.0,SW
326,HEWLETT PACKARD ENTERPRISE,0.049429,HPE,-,15239477.0,HPE
327,FIRST SOLAR INC,0.049078,FSLR,-,1271264.0,FSLR
328,CBOE GLOBAL MARKETS INC,0.048963,CBOE,-,1253267.0,CBOE
329,WEYERHAEUSER CO,0.048722,WY,-,8676359.0,WY
330,DECKERS OUTDOOR CORP,0.048512,DECK,-,304885.0,DECK
331,WEST PHARMACEUTICAL SERVICES,0.048295,WST,-,878142.0,WST
332,ZIMMER BIOMET HOLDINGS INC,0.048182,ZBH,-,2484548.0,ZBH
333,RAYMOND JAMES FINANCIAL INC,0.047665,RJF,-,2236206.0,RJF
334,AMEREN CORPORATION,0.047431,AEE,-,3082592.0,AEE
335,CORPAY INC,0.04678,CPAY,-,834507.0,CPAY
336,CINCINNATI FINANCIAL CORP,0.046748,CINF,-,1866121.0,CINF
337,KELLANOVA,0.046486,K,-,3137009.0,K
338,GODADDY INC   CLASS A,0.046451,GDDY,-,1673660.0,GDDY
339,COOPER COS INC/THE,0.046393,COO,-,2352367.0,COO
340,LEIDOS HOLDINGS INC,0.045777,LDOS,-,1618634.0,LDOS
341,MCCORMICK + CO NON VTG SHRS,0.045754,MKC,-,2983646.0,MKC
342,BUILDERS FIRSTSOURCE INC,0.045658,BLDR,-,1464399.0,BLDR
343,INVITATION HOMES INC,0.045511,INVH,-,6842098.0,INVH
344,REGIONS FINANCIAL CORP,0.045281,RF,-,11038594.0,RF
345,HUNTINGTON BANCSHARES INC,0.045123,HBAN,-,17042140.0,HBAN
